time,temperature,humidity,wind,city
2025-09-25T12:00,28.0,90,2.8,Đà Nẵng
2025-09-25T13:00,27.8,91,2.1,Đà Nẵng
2025-09-25T14:00,27.8,91,1.8,Đà Nẵng
2025-09-25T15:00,27.6,91,2.0,Đà Nẵng
2025-09-25T16:00,27.3,92,2.2,Đà Nẵng
2025-09-25T17:00,26.9,93,2.7,Đà Nẵng
2025-09-25T18:00,26.6,94,3.1,Đà Nẵng
2025-09-25T19:00,26.4,94,3.1,Đà Nẵng
2025-09-25T20:00,26.3,94,2.6,Đà Nẵng
2025-09-25T21:00,26.3,94,1.9,Đà Nẵng
2025-09-25T22:00,26.4,94,1.4,Đà Nẵng
2025-09-25T23:00,26.5,93,1.5,Đà Nẵng
2025-09-26T00:00,26.7,92,1.5,Đà Nẵng
2025-09-26T01:00,27.3,90,1.3,Đà Nẵng
2025-09-26T02:00,28.0,87,1.1,Đà Nẵng
2025-09-26T03:00,28.5,84,1.9,Đà Nẵng
2025-09-26T04:00,28.9,82,4.0,Đà Nẵng
2025-09-26T05:00,29.2,81,6.3,Đà Nẵng
2025-09-26T06:00,29.3,80,8.2,Đà Nẵng
2025-09-26T07:00,29.0,81,9.1,Đà Nẵng
2025-09-26T08:00,28.6,82,9.3,Đà Nẵng
2025-09-26T09:00,28.1,84,8.8,Đà Nẵng
2025-09-26T10:00,27.6,86,7.7,Đà Nẵng
2025-09-26T11:00,27.0,88,5.9,Đà Nẵng
2025-09-26T12:00,26.6,90,3.7,Đà Nẵng
2025-09-26T13:00,26.3,92,1.1,Đà Nẵng
2025-09-26T14:00,26.1,93,2.3,Đà Nẵng
2025-09-26T15:00,26.0,94,4.3,Đà Nẵng
2025-09-26T16:00,25.8,94,4.8,Đà Nẵng
2025-09-26T17:00,25.7,94,4.1,Đà Nẵng
2025-09-26T18:00,25.6,94,3.3,Đà Nẵng
2025-09-26T19:00,25.6,94,2.8,Đà Nẵng
2025-09-26T20:00,25.5,94,2.3,Đà Nẵng
2025-09-26T21:00,25.6,94,1.8,Đà Nẵng
2025-09-26T22:00,25.6,94,2.3,Đà Nẵng
2025-09-26T23:00,25.8,94,3.1,Đà Nẵng
2025-09-27T00:00,26.0,93,3.2,Đà Nẵng
2025-09-27T01:00,26.3,90,2.2,Đà Nẵng
2025-09-27T02:00,26.8,86,2.6,Đà Nẵng
2025-09-27T03:00,27.3,83,4.7,Đà Nẵng
2025-09-27T04:00,27.8,82,5.9,Đà Nẵng
2025-09-27T05:00,28.2,82,7.1,Đà Nẵng
2025-09-27T06:00,28.5,82,8.0,Đà Nẵng
2025-09-27T07:00,28.3,83,9.0,Đà Nẵng
2025-09-27T08:00,27.9,85,9.3,Đà Nẵng
2025-09-27T09:00,27.5,87,9.3,Đà Nẵng
2025-09-27T10:00,27.0,89,7.9,Đà Nẵng
2025-09-27T11:00,26.5,91,5.8,Đà Nẵng
2025-09-27T12:00,26.0,92,3.7,Đà Nẵng
2025-09-27T13:00,25.7,93,2.2,Đà Nẵng
2025-09-27T14:00,25.4,94,2.9,Đà Nẵng
2025-09-27T15:00,25.1,94,4.4,Đà Nẵng
2025-09-27T16:00,24.8,94,4.7,Đà Nẵng
2025-09-27T17:00,24.6,94,4.7,Đà Nẵng
2025-09-27T18:00,24.4,94,4.3,Đà Nẵng
2025-09-27T19:00,24.3,94,4.0,Đà Nẵng
2025-09-27T20:00,24.3,94,3.6,Đà Nẵng
2025-09-27T21:00,24.3,94,3.2,Đà Nẵng
2025-09-27T22:00,24.2,94,3.2,Đà Nẵng
2025-09-27T23:00,24.2,94,3.6,Đà Nẵng
2025-09-28T00:00,24.3,94,3.8,Đà Nẵng
2025-09-28T01:00,24.7,94,3.8,Đà Nẵng
2025-09-28T02:00,25.2,94,4.8,Đà Nẵng
2025-09-28T03:00,25.7,94,6.2,Đà Nẵng
2025-09-28T04:00,26.0,93,8.0,Đà Nẵng
2025-09-28T05:00,26.4,92,10.2,Đà Nẵng
